accelerometer,gyroscope,overall_angle,time
"{'x': 1.0773907470703123, 'y': 1.8219874633789062, 'z': 8.528146313476562}","{'x': -1.8702290076335877, 'y': -0.3816793893129771, 'z': -0.11450381679389313}",15.533109429091963,2025-04-17 20:51:00.360910
"{'x': 1.1611878051757811, 'y': 1.7693150268554687, 'z': 8.597578161621094}","{'x': -1.282442748091603, 'y': -0.2900763358778626, 'z': -0.8320610687022901}",14.804039687526446,2025-04-17 20:51:10.367701
"{'x': 1.8722656982421875, 'y': 0.8451531860351562, 'z': 8.520963708496094}","{'x': -1.2748091603053435, 'y': -0.13740458015267176, 'z': -1.1374045801526718}",14.069440449862277,2025-04-17 20:51:20.374053
"{'x': 1.889025109863281, 'y': 0.8307879760742187, 'z': 8.528146313476562}","{'x': -1.1221374045801527, 'y': -0.2900763358778626, 'z': -0.6564885496183206}",13.295658273908403,2025-04-17 20:51:30.380390
"{'x': 1.7453730102539062, 'y': 1.2521674682617188, 'z': 8.504204296874999}","{'x': -0.8625954198473282, 'y': -0.09923664122137404, 'z': -1.534351145038168}",12.702722400524992,2025-04-17 20:51:40.386720
"{'x': 1.6711527587890624, 'y': 1.209071838378906, 'z': 8.47786807861328}","{'x': -0.8854961832061069, 'y': -0.4198473282442748, 'z': -1.6564885496183206}",11.955705509896898,2025-04-17 20:51:50.393040
"{'x': 1.388636962890625, 'y': 1.7381904052734374, 'z': 8.473079675292968}","{'x': 1.5190839694656488, 'y': 0.45038167938931295, 'z': -6.022900763358779}",11.948463215357538,2025-04-17 20:52:00.403186
"{'x': 2.090138049316406, 'y': 0.4572925170898437, 'z': 8.51617530517578}","{'x': -1.2366412213740459, 'y': -0.24427480916030533, 'z': -1.0305343511450382}",11.194904403078592,2025-04-17 20:52:10.411065
"{'x': 1.7669208251953124, 'y': 1.4772224243164063, 'z': 8.489839086914062}","{'x': -1.1526717557251909, 'y': -0.35877862595419846, 'z': -1.1526717557251909}",10.483272528078864,2025-04-17 20:52:20.417761
"{'x': 1.9201497314453124, 'y': 1.1659762084960936, 'z': 8.501810095214843}","{'x': -1.3511450381679388, 'y': 0.22900763358778625, 'z': -1.1526717557251909}",10.101478605467362,2025-04-17 20:52:30.424492
"{'x': 1.687912170410156, 'y': 1.2018892333984375, 'z': 8.322244970703125}","{'x': -0.9236641221374046, 'y': 0.10687022900763359, 'z': -1.8854961832061068}",9.720549906169229,2025-04-17 20:52:40.430915
"{'x': 1.9728221679687499, 'y': 1.2210428466796874, 'z': 8.461108666992187}","{'x': -1.1450381679389312, 'y': -0.26717557251908397, 'z': -0.9083969465648855}",9.12122708184357,2025-04-17 20:52:50.442884
"{'x': 1.8626888916015625, 'y': 1.0414777221679687, 'z': 8.288726147460936}","{'x': -1.4274809160305344, 'y': 0.48091603053435117, 'z': -0.48854961832061067}",9.005991666795007,2025-04-17 20:53:00.449856
"{'x': 1.9608511596679685, 'y': 1.0103531005859374, 'z': 8.458714465332031}","{'x': -1.1145038167938932, 'y': -0.11450381679389313, 'z': -0.9618320610687023}",8.574615576315127,2025-04-17 20:53:10.461488
"{'x': 1.9608511596679685, 'y': 1.0893617553710937, 'z': 8.508992700195313}","{'x': -1.2061068702290076, 'y': -0.31297709923664124, 'z': -1.0610687022900764}",8.089893924053467,2025-04-17 20:53:20.472542
"{'x': 1.908178723144531, 'y': 1.0606313354492187, 'z': 8.449137658691406}","{'x': -1.0534351145038168, 'y': -0.22900763358778625, 'z': -1.015267175572519}",7.686714435337875,2025-04-17 20:53:30.479930
"{'x': 2.003946789550781, 'y': 1.0414777221679687, 'z': 8.444349255371094}","{'x': -1.183206106870229, 'y': -0.16793893129770993, 'z': -0.916030534351145}",7.3802278371452115,2025-04-17 20:53:40.486504
"{'x': 1.9105729248046874, 'y': 1.0606313354492187, 'z': 8.427589843749999}","{'x': -0.8702290076335878, 'y': -0.16793893129770993, 'z': -0.916030534351145}",7.061944297528643,2025-04-17 20:53:50.493640
"{'x': 1.9512743530273435, 'y': 0.967257470703125, 'z': 8.458714465332031}","{'x': -2.0229007633587788, 'y': 0.5190839694656488, 'z': 0.48091603053435117}",7.453885091056299,2025-04-17 20:54:00.500090
"{'x': 2.1356278808593747, 'y': 0.9409212524414062, 'z': 8.339004382324218}","{'x': -1.183206106870229, 'y': 0.05343511450381679, 'z': -1.297709923664122}",7.411671223917128,2025-04-17 20:54:10.510119
"{'x': 2.118868469238281, 'y': 0.9648632690429687, 'z': 8.48505068359375}","{'x': -0.7786259541984732, 'y': -1.0763358778625953, 'z': -1.3740458015267176}",6.804111097332434,2025-04-17 20:54:20.522783
"{'x': 1.9728221679687499, 'y': 0.948103857421875, 'z': 8.482656481933594}","{'x': -1.2900763358778626, 'y': -0.549618320610687, 'z': -1.0458015267175573}",6.735056353004661,2025-04-17 20:54:30.529530
"{'x': 2.080561242675781, 'y': 0.9792284790039062, 'z': 8.635885388183594}","{'x': -1.702290076335878, 'y': -1.9236641221374047, 'z': -1.4122137404580153}",6.603789386476374,2025-04-17 20:54:40.538151
"{'x': 2.01112939453125, 'y': 1.005564697265625, 'z': 8.482656481933594}","{'x': -1.2213740458015268, 'y': 0.0916030534351145, 'z': -1.0534351145038168}",6.899945589646375,2025-04-17 20:54:50.547033
"{'x': 1.9321207397460936, 'y': 0.9361328491210937, 'z': 8.518569506835936}","{'x': -1.1221374045801527, 'y': -0.3435114503816794, 'z': -1.1068702290076335}",7.100578361220823,2025-04-17 20:55:00.553952
"{'x': 2.0566192260742184, 'y': 1.0199299072265624, 'z': 8.667010009765624}","{'x': -1.450381679389313, 'y': -2.9236641221374047, 'z': -1.9770992366412214}",7.365789493756331,2025-04-17 20:55:10.562342
"{'x': 1.9991583862304687, 'y': 0.9935936889648437, 'z': 8.492233288574218}","{'x': -1.1908396946564885, 'y': -0.17557251908396945, 'z': -0.9389312977099237}",7.7639838040605165,2025-04-17 20:55:20.569010
"{'x': 2.039859814453125, 'y': 0.9600748657226562, 'z': 8.415618835449218}","{'x': -1.213740458015267, 'y': -0.17557251908396945, 'z': -1.213740458015267}",8.186048186222399,2025-04-17 20:55:30.575482
"{'x': 2.003946789550781, 'y': 1.0295067138671874, 'z': 8.489839086914062}","{'x': -1.0610687022900764, 'y': -0.061068702290076333, 'z': -1.1450381679389312}",8.510885925938094,2025-04-17 20:55:40.586227
"{'x': 1.848323681640625, 'y': 0.9840168823242187, 'z': 8.487444885253906}","{'x': -1.4732824427480915, 'y': 0.08396946564885496, 'z': -1.0763358778625953}",9.057349711414465,2025-04-17 20:55:50.597781
"{'x': 2.080561242675781, 'y': 0.9792284790039062, 'z': 8.525752111816406}","{'x': -0.6793893129770993, 'y': -0.183206106870229, 'z': -2.1297709923664123}",9.182309835391226,2025-04-17 20:56:00.604433
"{'x': 1.9967641845703124, 'y': 0.9864110839843749, 'z': 8.508992700195313}","{'x': -1.2595419847328244, 'y': 0.0916030534351145, 'z': -0.8473282442748091}",9.604527668063351,2025-04-17 20:56:10.610772
"{'x': 2.01112939453125, 'y': 0.967257470703125, 'z': 8.540117321777343}","{'x': -1.0229007633587786, 'y': -1.015267175572519, 'z': -1.6259541984732824}",10.02770269179943,2025-04-17 20:56:20.622771
"{'x': 2.001552587890625, 'y': 0.9720458740234375, 'z': 8.494627490234375}","{'x': -1.534351145038168, 'y': -0.2595419847328244, 'z': -0.7557251908396947}",10.642236660221698,2025-04-17 20:56:30.638173
"{'x': 2.0087351928710935, 'y': 0.9552864624023437, 'z': 8.458714465332031}","{'x': -1.3511450381679388, 'y': -0.17557251908396945, 'z': -1.083969465648855}",11.138411363006513,2025-04-17 20:56:40.645266
"{'x': 1.458068811035156, 'y': 1.2018892333984375, 'z': 7.323862878417969}","{'x': -3.122137404580153, 'y': 6.465648854961832, 'z': -1.6564885496183206}",12.044094619561863,2025-04-17 20:56:50.653342
"{'x': 2.020706201171875, 'y': 1.0558429321289062, 'z': 8.451531860351562}","{'x': -1.549618320610687, 'y': -3.2442748091603053, 'z': -1.8091603053435115}",12.65572394069655,2025-04-17 20:57:00.663073
"{'x': 1.9919757812499999, 'y': 0.97683427734375, 'z': 8.576030346679687}","{'x': -1.6259541984732824, 'y': 0.9923664122137404, 'z': 0.29770992366412213}",13.145713098130758,2025-04-17 20:57:10.679521
"{'x': 1.9680337646484374, 'y': 0.9552864624023437, 'z': 8.473079675292968}","{'x': -1.381679389312977, 'y': 1.3282442748091603, 'z': -0.5801526717557252}",13.487424489607132,2025-04-17 20:57:20.694833
"{'x': 2.133233679199219, 'y': 0.9576806640625, 'z': 8.571241943359375}","{'x': -1.251908396946565, 'y': -0.6793893129770993, 'z': -0.5419847328244275}",13.854623443249302,2025-04-17 20:57:30.707132
"{'x': 2.059013427734375, 'y': 0.9097966308593749, 'z': 8.494627490234375}","{'x': -1.0763358778625953, 'y': -0.16030534351145037, 'z': -1.1374045801526718}",14.104063322311562,2025-04-17 20:57:40.716944
"{'x': 1.8459294799804686, 'y': 0.9600748657226562, 'z': 8.453926062011718}","{'x': -1.1526717557251909, 'y': -0.5648854961832062, 'z': -1.3511450381679388}",14.421698805837108,2025-04-17 20:57:50.723499
"{'x': 2.0302830078125, 'y': 0.9792284790039062, 'z': 8.513781103515624}","{'x': -1.6106870229007633, 'y': -0.3435114503816794, 'z': -0.3282442748091603}",14.979591624254402,2025-04-17 20:58:00.730273
"{'x': 1.9823989746093749, 'y': 1.149216796875, 'z': 8.51617530517578}","{'x': -0.48091603053435117, 'y': 1.1603053435114503, 'z': -2.015267175572519}",14.729662416473536,2025-04-17 20:58:10.736638
"{'x': 1.85790048828125, 'y': 1.0414777221679687, 'z': 8.532934716796875}","{'x': -1.0763358778625953, 'y': -0.15267175572519084, 'z': -1.1068702290076335}",14.952682595805944,2025-04-17 20:58:20.743469
"{'x': 2.1691467041015624, 'y': 0.8786720092773437, 'z': 8.480262280273436}","{'x': -0.8625954198473282, 'y': -0.816793893129771, 'z': -1.7404580152671756}",15.164754852983872,2025-04-17 20:58:30.751669
"{'x': 2.1930887207031247, 'y': 0.8906430175781249, 'z': 8.444349255371094}","{'x': -1.1068702290076335, 'y': -0.40458015267175573, 'z': -1.3587786259541985}",15.47325015936278,2025-04-17 20:58:40.760795
"{'x': 2.013523596191406, 'y': 0.8379705810546875, 'z': 8.444349255371094}","{'x': -1.1068702290076335, 'y': -0.35877862595419846, 'z': -1.3206106870229009}",15.777971243217538,2025-04-17 20:58:50.786694
"{'x': 2.2385785522460937, 'y': 0.8930372192382812, 'z': 8.619125976562499}","{'x': -3.50381679389313, 'y': 0.3893129770992366, 'z': -1.4961832061068703}",17.27257720345862,2025-04-17 20:59:00.835905
"{'x': 2.288856787109375, 'y': 0.8307879760742187, 'z': 8.525752111816406}","{'x': -1.251908396946565, 'y': -0.20610687022900764, 'z': -0.9083969465648855}",17.60725195673832,2025-04-17 20:59:10.842629
"{'x': 3.143586779785156, 'y': 0.13646949462890623, 'z': 8.267178332519531}","{'x': -1.1908396946564885, 'y': -0.32061068702290074, 'z': -0.8549618320610687}",18.041948787320067,2025-04-17 20:59:20.851167
"{'x': 3.3303345092773435, 'y': 0.13407529296874998, 'z': 8.350975390624999}","{'x': -1.1603053435114503, 'y': -1.9236641221374047, 'z': -0.9541984732824428}",18.755883467345157,2025-04-17 20:59:30.860477
"{'x': 3.2561142578125, 'y': 0.08140285644531249, 'z': 8.24802471923828}","{'x': -1.2290076335877862, 'y': -0.3282442748091603, 'z': -1.1450381679389312}",19.233284277552936,2025-04-17 20:59:40.867873
"{'x': 3.4668040039062498, 'y': 0.15322890625, 'z': 8.180987072753906}","{'x': -1.2366412213740459, 'y': -0.4961832061068702, 'z': -1.083969465648855}",19.74866321334543,2025-04-17 20:59:50.875443
"{'x': 3.469198205566406, 'y': 0.10295067138671875, 'z': 8.13310303955078}","{'x': -1.1984732824427482, 'y': -0.20610687022900764, 'z': -1.015267175572519}",20.185624183662423,2025-04-17 21:00:00.884780
"{'x': 3.5003228271484375, 'y': 0.15562310791015624, 'z': 8.037334973144532}","{'x': -1.2748091603053435, 'y': -0.16030534351145037, 'z': -1.1145038167938932}",20.643381754336847,2025-04-17 21:00:10.893946
"{'x': 3.380612744140625, 'y': 0.16041151123046873, 'z': 8.176198669433592}","{'x': -1.1145038167938932, 'y': -0.25190839694656486, 'z': -1.0381679389312977}",21.02485389702813,2025-04-17 21:00:20.902952
"{'x': 3.7421371948242186, 'y': 0.076614453125, 'z': 8.058882788085937}","{'x': -1.183206106870229, 'y': -0.2748091603053435, 'z': -0.9694656488549618}",21.47382261340843,2025-04-17 21:00:30.911692
"{'x': 3.5577836669921874, 'y': 0.13646949462890623, 'z': 8.1594392578125}","{'x': -1.0763358778625953, 'y': 2.16793893129771, 'z': -1.251908396946565}",21.27250611248712,2025-04-17 21:00:40.919344
"{'x': 3.342305517578125, 'y': 0.09337386474609374, 'z': 8.202534887695313}","{'x': -1.16793893129771, 'y': -0.33587786259541985, 'z': -0.9541984732824428}",21.689204641261878,2025-04-17 21:00:50.925997
"{'x': 3.399766357421875, 'y': 0.2657563842773437, 'z': 8.128314636230469}","{'x': -1.1984732824427482, 'y': -0.19083969465648856, 'z': -0.9083969465648855}",22.067777124545614,2025-04-17 21:01:00.932342
"{'x': 3.3111808959960936, 'y': 0.14125789794921875, 'z': 8.219294299316406}","{'x': -1.1908396946564885, 'y': -0.4198473282442748, 'z': -0.9236641221374046}",22.50095514088317,2025-04-17 21:01:10.943317
"{'x': 3.296815686035156, 'y': 0.1292868896484375, 'z': 8.147468249511718}","{'x': -1.099236641221374, 'y': -0.11450381679389313, 'z': -1.0534351145038168}",22.81079506248713,2025-04-17 21:01:20.953219
"{'x': 3.284844677734375, 'y': 0.09576806640624999, 'z': 8.2360537109375}","{'x': -1.1297709923664123, 'y': 0.061068702290076333, 'z': -1.1068702290076335}",23.089278614721035,2025-04-17 21:01:30.959807
"{'x': 2.4205378784179685, 'y': -5.844246252441406, 'z': -8.073247998046874}","{'x': -30.458015267175572, 'y': -10.595419847328245, 'z': 7.923664122137405}",41.40666589381267,2025-04-17 21:01:40.966265
"{'x': 3.095702746582031, 'y': -9.464279162597656, 'z': -2.597708801269531}","{'x': -1.2061068702290076, 'y': -0.15267175572519084, 'z': -1.4809160305343512}",42.605042924174825,2025-04-17 21:01:50.981632
"{'x': 2.868253588867187, 'y': -9.449913952636718, 'z': -2.4564509033203126}","{'x': -1.213740458015267, 'y': -0.3282442748091603, 'z': -0.9541984732824428}",43.83997347994589,2025-04-17 21:02:00.988366
"{'x': 2.729389892578125, 'y': -9.5384994140625, 'z': -2.5857377929687497}","{'x': -1.2366412213740459, 'y': -0.24427480916030533, 'z': -0.7786259541984732}",45.04488778096046,2025-04-17 21:02:10.994824
"{'x': 2.6623522460937497, 'y': -9.579200842285156, 'z': -2.6001030029296874}","{'x': -1.1603053435114503, 'y': -0.17557251908396945, 'z': -1.099236641221374}",46.176688833977856,2025-04-17 21:02:21.001149
"{'x': 2.5354595581054684, 'y': -9.519345800781249, 'z': -2.6001030029296874}","{'x': -1.2442748091603053, 'y': -0.31297709923664124, 'z': -0.9465648854961832}",47.36234969124229,2025-04-17 21:02:31.007575
"{'x': 2.7533319091796873, 'y': -9.445125549316407, 'z': -2.7246014892578123}","{'x': 0.3893129770992366, 'y': -0.26717557251908397, 'z': 0.1984732824427481}",47.640923519476885,2025-04-17 21:02:41.022909
"{'x': 2.2577321655273437, 'y': -9.658209497070311, 'z': -2.583343591308594}","{'x': -1.1297709923664123, 'y': -0.16030534351145037, 'z': -1.0076335877862594}",48.722051822241895,2025-04-17 21:02:51.029763
"{'x': 2.2170307373046874, 'y': -9.694122521972655, 'z': -2.5665841796874997}","{'x': -1.213740458015267, 'y': -0.24427480916030533, 'z': -1.0458015267175573}",49.84844574091377,2025-04-17 21:03:01.036118
"{'x': 2.157175695800781, 'y': -9.672574707031249, 'z': -2.70065947265625}","{'x': -1.1450381679389312, 'y': -0.366412213740458, 'z': -1.0763358778625953}",50.931945240843206,2025-04-17 21:03:11.042444
