accelerometer,gyroscope,overall_angle,time
"{'x': 6.347028601074219, 'y': 0.2154781494140625, 'z': 6.545747338867187}","{'x': -1.0381679389312977, 'y': -0.35877862595419846, 'z': -0.9007633587786259}",37.378894927446495,2025-04-17 13:18:44.518379
"{'x': 6.287173559570312, 'y': 0.1580173095703125, 'z': 6.579266162109374}","{'x': -1.4885496183206106, 'y': -1.5267175572519085, 'z': -0.8320610687022901}",38.42467725795721,2025-04-17 13:18:54.530694
"{'x': 6.284779357910156, 'y': 0.201112939453125, 'z': 6.562506750488281}","{'x': -1.0916030534351144, 'y': -0.10687022900763359, 'z': -1.16793893129771}",38.73288721853419,2025-04-17 13:19:04.541575
"{'x': 6.3901242309570305, 'y': 0.28490999755859375, 'z': 6.579266162109374}","{'x': -1.3053435114503817, 'y': -0.022900763358778626, 'z': -1.183206106870229}",39.0853672747796,2025-04-17 13:19:14.552892
"{'x': 6.414066247558593, 'y': 0.21068974609375, 'z': 6.586448767089843}","{'x': -1.1297709923664123, 'y': -0.2366412213740458, 'z': -1.0229007633587786}",39.456082129768404,2025-04-17 13:19:24.559860
"{'x': 6.325480786132812, 'y': 0.2346317626953125, 'z': 6.53138212890625}","{'x': -1.1297709923664123, 'y': 0.32061068702290074, 'z': -0.9312977099236641}",39.59139771532746,2025-04-17 13:19:34.570275
"{'x': 6.193799694824218, 'y': 0.19632453613281248, 'z': 6.794744311523437}","{'x': -0.9923664122137404, 'y': -0.4961832061068702, 'z': -0.9465648854961832}",39.98045120604614,2025-04-17 13:19:44.576884
"{'x': 6.169857678222656, 'y': 0.11731588134765625, 'z': 6.744466076660156}","{'x': -1.015267175572519, 'y': -0.2366412213740458, 'z': -1.0458015267175573}",40.276105570241064,2025-04-17 13:19:54.583197
"{'x': 6.1459156616210935, 'y': 0.21787235107421873, 'z': 6.770802294921874}","{'x': -1.0, 'y': -0.366412213740458, 'z': -0.916030534351145}",40.6033796273047,2025-04-17 13:20:04.589545
"{'x': 6.119579443359375, 'y': 0.22505495605468748, 'z': 6.823474731445312}","{'x': -0.9694656488549618, 'y': -0.3435114503816794, 'z': -1.015267175572519}",40.89994399802457,2025-04-17 13:20:14.596443
"{'x': 6.1650692749023435, 'y': 0.28730419921875, 'z': 6.746860278320312}","{'x': -1.099236641221374, 'y': -0.030534351145038167, 'z': -0.8473282442748091}",41.11336507610202,2025-04-17 13:20:24.610825
"{'x': 5.906495495605468, 'y': 0.17477672119140625, 'z': 6.9719152343749995}","{'x': -0.9770992366412213, 'y': -0.31297709923664124, 'z': -1.1374045801526718}",41.37329964249545,2025-04-17 13:20:34.623844
"{'x': 5.7891796142578125, 'y': 0.37828386230468747, 'z': 6.653486413574218}","{'x': -0.2748091603053435, 'y': -0.06870229007633588, 'z': -1.6564885496183206}",41.259884482972126,2025-04-17 13:20:44.637643
"{'x': 5.8610056640625, 'y': 0.2059013427734375, 'z': 6.9910688476562495}","{'x': -0.9847328244274809, 'y': -0.1450381679389313, 'z': -1.213740458015267}",41.445620297684755,2025-04-17 13:20:54.649507
"{'x': 5.686228942871093, 'y': 0.258573779296875, 'z': 7.187393383789062}","{'x': -1.0687022900763359, 'y': -0.16793893129770993, 'z': -1.0687022900763359}",41.63978129749475,2025-04-17 13:21:04.656525
"{'x': 5.8610056640625, 'y': 0.24899697265624998, 'z': 7.3478048950195305}","{'x': -1.16793893129771, 'y': -3.6946564885496183, 'z': -1.0916030534351144}",43.39787817815587,2025-04-17 13:21:14.667455
"{'x': 5.7843912109375, 'y': 0.20829554443359374, 'z': 7.058106494140625}","{'x': -0.8702290076335878, 'y': -0.3053435114503817, 'z': -1.1221374045801527}",43.56721456039819,2025-04-17 13:21:24.675479
"{'x': 5.7077767578125, 'y': 0.28969840087890625, 'z': 6.993463049316406}","{'x': -1.0381679389312977, 'y': -0.1984732824427481, 'z': -1.0076335877862594}",43.73696542263494,2025-04-17 13:21:34.681919
"{'x': 5.724536169433593, 'y': 0.24899697265624998, 'z': 7.115567333984375}","{'x': -0.9694656488549618, 'y': -0.33587786259541985, 'z': -1.0}",43.937847966791075,2025-04-17 13:21:44.688272
"{'x': 5.810727429199218, 'y': 0.21068974609375, 'z': 7.055712292480468}","{'x': -1.0763358778625953, 'y': -0.35877862595419846, 'z': -1.1221374045801527}",44.19585858493881,2025-04-17 13:21:54.694615
"{'x': 5.6958057495117185, 'y': 0.10773907470703124, 'z': 6.957550024414062}","{'x': -0.5877862595419847, 'y': 0.13740458015267176, 'z': -1.2290076335877862}",44.06635409892865,2025-04-17 13:22:04.702823
"{'x': 5.698199951171874, 'y': 0.2346317626953125, 'z': 7.180210778808593}","{'x': -0.9541984732824428, 'y': -0.22900763358778625, 'z': -0.916030534351145}",44.20507992865739,2025-04-17 13:22:14.709415
"{'x': 5.604826086425781, 'y': 0.22744915771484372, 'z': 7.153874560546875}","{'x': -1.2748091603053435, 'y': -0.16793893129770993, 'z': -0.9770992366412213}",44.4179914654848,2025-04-17 13:22:24.715788
"{'x': 5.626373901367187, 'y': 0.2609679809570312, 'z': 7.115567333984375}","{'x': -1.0610687022900764, 'y': -0.22137404580152673, 'z': -1.0076335877862594}",44.57909078249196,2025-04-17 13:22:34.722116
"{'x': 5.5545478515625, 'y': 0.21787235107421873, 'z': 7.237671618652343}","{'x': -1.0534351145038168, 'y': -0.007633587786259542, 'z': -1.0458015267175573}",44.62926212128629,2025-04-17 13:22:44.737487
"{'x': 5.540182641601562, 'y': 0.2346317626953125, 'z': 7.220912207031249}","{'x': -1.0305343511450382, 'y': -0.25190839694656486, 'z': -0.9847328244274809}",44.778444885879026,2025-04-17 13:22:54.744227
"{'x': 5.528211633300781, 'y': 0.1867477294921875, 'z': 7.055712292480468}","{'x': -1.0, 'y': -0.2366412213740458, 'z': -0.9007633587786259}",44.92048974903645,2025-04-17 13:23:04.750632
"{'x': 5.556942053222656, 'y': 0.21787235107421873, 'z': 7.316680273437499}","{'x': -1.0305343511450382, 'y': -0.22900763358778625, 'z': -1.2366412213740459}",45.05099662896031,2025-04-17 13:23:14.757024
"{'x': 5.499481213378906, 'y': 0.24899697265624998, 'z': 7.180210778808593}","{'x': -1.0610687022900764, 'y': -0.1297709923664122, 'z': -1.2061068702290076}",45.14574822085017,2025-04-17 13:23:24.763376
"{'x': 5.49708701171875, 'y': 0.26815058593749996, 'z': 7.125144140624999}","{'x': -1.0458015267175573, 'y': -0.2900763358778626, 'z': -1.1297709923664123}",45.30726643300715,2025-04-17 13:23:34.769727
"{'x': 5.523423229980469, 'y': 0.2442085693359375, 'z': 7.055712292480468}","{'x': -1.0534351145038168, 'y': -0.15267175572519084, 'z': -1.0687022900763359}",45.41468855366833,2025-04-17 13:23:44.776074
"{'x': 5.453991381835937, 'y': 0.258573779296875, 'z': 7.070077502441406}","{'x': -1.0534351145038168, 'y': -0.25190839694656486, 'z': -0.8625954198473282}",45.55705711871613,2025-04-17 13:23:54.782395
"{'x': 5.473144995117187, 'y': 0.229843359375, 'z': 7.194575988769531}","{'x': -1.0687022900763359, 'y': -0.26717557251908397, 'z': -1.0}",45.70498331398878,2025-04-17 13:24:04.788745
"{'x': 5.578489868164062, 'y': 0.17477672119140625, 'z': 7.216123803710937}","{'x': -1.0458015267175573, 'y': -0.22900763358778625, 'z': -1.0076335877862594}",45.83669466215878,2025-04-17 13:24:14.795072
"{'x': 5.506663818359375, 'y': 0.21787235107421873, 'z': 7.168239770507812}","{'x': -1.015267175572519, 'y': -0.12213740458015267, 'z': -0.9618320610687023}",45.90111191047224,2025-04-17 13:24:24.801421
